Deutsch,English,Russisch
ich,I,я
sie,she,она
das,that,это
ist,is,является
du,from,ты
nicht,not,нет
die,the,то
es,is,Это
und,and,а также
der,the,то
wir,weather,Погода
was,was,какой
zu,to,к
er,is,он
ein,a,а.
in,in,в
ja,and,да
mir,to me,мне
mit,with,с участием
wie,how,как
den,the,то
mich,me,меня
auf,on,на
dass,that,это
aber,but,но
eine,one,один
so,so,так
hat,Has,Имеет
hier,here,здесь
haben,to have,иметь
für,for,для
sind,are,являются
war,war,было
von,from,от
wenn,if,если
dich,you,ты
ihr,her,ее
nein,no,нет
an,an,в
bin,am,являюсь
noch,still,еще
nur,only,Только
da,gives,там
dir,to you,тебе
sich,yourself,сами
einen,a,а.
uns,US,нас
hast,have,имеют
dem,to the,к тому
kann,can,могу
gut,Good,Хорошо
auch,even,четное
schon,beautiful,Прекрасный
als,as,так как
sein,be,быть
mal,times,времена
jetzt,now,сейчас
ihn,him,ему
dann,then,тогда
aus,the end,конец
meine,my,мой
um,a,около
im,in the,в
wird,will,буду
mein,my,мой
bist,are you,ты
doch,indeed,конечно
alles,everything,все
weiß,White,белый
keine,no,нет
oder,or,или
nach,after,после
s,s,с
nichts,nothing,ничего
man,man,один
muss,got to,должен
werden,will,буду
will,will,хочу
ihnen,them,их
geht,goes,идет
wo,Where,Где
etwas,some,немного
oh,oh,ой
mehr,more,более
bei,at,в
also,also,так
bitte,You're welcome,Пожалуйста
immer,always,всегда
hab,have,имеют
warum,why,Зачем
vor,in front,спереди
los,the,Ну давай же
können,be able,быть способным
wieder,again,опять таки
sagen,say,сказать
machen,do,делать
danke,Thanks,Спасибо
sehr,very,очень
alle,Everyone,Каждый
denn,then,тогда
mann,man,человек
tun,do,делать
ihm,him,ему
zum,to the,к тому
gehen,walk,ходить
sehen,see,видеть
vielleicht,perhaps,возможно
einem,a,а.
wer,who,ВОЗ
ihre,your,твой
diese,these,эти
euch,to you,тебе
einer,a,а.
komm,come,приходить
über,above,над
gibt,gives,дает
okay,okay,Ok
wissen,to know,знать
deine,your,твой
müssen,have to,придется
soll,target,цель
werde,become,стали
nie,not,никогда
wirklich,really,В самом деле
hey,hey,Привет
kein,no,нет
viel,a lot of,много
weg,away,прочь
würde,would,было бы
tut,does,делает
am,am,на
des,from,из
einfach,easy,легкий
leben,Life,Жизнь
hatte,would have,будет иметь
zeit,Time,Время
weil,because,потому что
willst,want,хочу
kommen,come,приходить
dein,your,твой
heute,today,сегодня
kommt,comes,поставляется
wollen,want,хочу
damit,in order to,чтобы
ganz,all,все
wäre,would,было бы
wollte,wanted to,хотеть
weißt,whisper,шепот
ok,ok,Ok
sicher,secure,безопасный
gesagt,said,сказал
frau,woman,женщина
nun,well,хорошо
bis,until,до
wurde,became,стал
leid,suffering,страдания
na,na,N / A.
kannst,can,могу
macht,power,власть
dieser,this,это
zurück,back,назад
lassen,permit,разрешать
hallo,Hello,Привет
meinen,think,думать
gott,good,Бог
seine,his,его
hätte,would have,будет иметь
zwei,two,два
könnte,could,мог
genau,I agree,я согласен
waren,were,мы
zur,to the,к тому
lass,let,позволять
klar,clear,Чисто
morgen,morning,утро
leute,People,Люди
vater,father,отец
schön,Nice,Хороший
glaube,believe,полагать
mr,mr,г-н
ab,away,прочь
gerade,just,только что
tag,tag,День
gesehen,seen,видимый
reden,rode,говорить
wohl,probably,наверное
liebe,love,любовь
sollte,should,должен
sagte,said,сказал
unsere,our,наш
jemand,someone,кто-то
geld,money,Деньги
durch,through,через
ob,at,если
keinen,none,никто
mutter,mother,мама
raus,Out,Вне
gemacht,made,сделанный
paar,pair,пара
mach,Mach,"макияж, мириться"
passiert,happened,случилось
dachte,thought,мысль
besser,better,лучше
musst,must,должен
wieso,how so,как же так
sir,sir,сэр
dieses,this,это
selbst,even,четное
gehört,belongs,принадлежит
möchte,would like,хотелось бы
ohne,without,без
hör,hear,слышать
her,her,на
sag,Case,сказать
meiner,mine,мой
anderen,others,другие
helfen,help,помощь
nacht,night,ночь
finden,Find,Находить
diesen,this,это
gute,quality,качественный
wirst,become,стали
lange,Long,Длинная
natürlich,naturally,естественно
ach,Only,ой
meinem,my,мой
gar,even,четное
ins,into the,в
sei,may be,может быть
dort,there,там
weiter,further,дальше
geben,give,дать
seit,since,поскольку
gleich,same,такой же
sagt,says,говорит
recht,Law,Закон
ihren,their,их
richtig,correct,правильный
ordnung,order,заказ
vom,from the,из
hören,Listen,Слушать
sieht,sees,видит
davon,from that,От этого
dafür,Therefore,Следовательно
geh,go,идти
diesem,This,Этот
wegen,because,потому что
hause,home,дома
sollten,should,должен
mädchen,girl,девочка
hin,there,там
sollen,should,должен
abend,evening,вечер
haus,House,жилой дом
denke,think,думать
viele,lots,много
drei,three,три
deinen,yours,ваша
freund,friend,друг
guten,good,хорошо
unser,our,наш
warte,worth,ждать
machst,make,сделать
menschen,People,Люди
essen,eat,есть
angst,fear,страх
bleiben,remain,оставаться
zusammen,together,вместе
welt,world,Мир
unter,under,под
habt,have,имеют
schnell,fast,быстро
andere,Others,разное
tot,until,мертвых
getan,did,сделал
darf,allowed,разрешается
erst,first,первый
rein,pure,чистый
stimmt,Right,Верно
nehmen,to take,принять
kinder,children,дети
eines,one,один
glauben,believe,полагать
bringen,bring,приносить
ganze,entire,весь
genug,enough,достаточно
scheiße,crap,дерьмо
brauchen,need,нужно
gegen,against,против
moment,moment,момент
junge,Boy,Мальчик
steht,stands,стенды
sonst,otherwise,иначе
musik,music,Музыка
arbeit,work,работай
seid,are,являются
ihrer,of their,от их
fragen,to ask,спрашивать
dabei,included,включен
heißt,called,называется
familie,family,семья
warten,waiting,ожидающий
niemand,nobody,никто
sofort,right away,немедленно
bevor,before,до
jahre,years,годы
einmal,once,однажды
problem,problem,проблема
sohn,son,сын
wann,when,когда
brauche,need,нужно
fertig,finished,законченный
halt,stop,остановка
allein,alone,в одиночестве
beim,at the,на
sprechen,to speak,говорить
beide,both,обе
gefunden,found,нашел
hatten,had,имел
sache,matter,иметь значение
hilfe,help,помощь
verdammt,Damn it,Черт
ne,born,неразборчивый
jeder,everyone,каждый
warst,wicked,безнравственный
gern,gladly,с радостью
konnte,could,мог
darüber,about that,об этом
halten,keep,держать
siehst,see,видеть
verstehe,understand,понимать
jahren,Years,Годы
kam,came,пришел
kind,kind,ребенок
wusste,knew,знал
wahr,true,истинный
seinen,his,его
dazu,to,к
bruder,brothers,братья
daran,to it,к нему
ihrem,Yours,Ваша
denken,to think,думать
könnten,could,мог
dank,thanks to,благодаря
würden,would,было бы
lieber,rather,скорее
fall,fall,кейс
deiner,yours,ваша
sehe,see,видеть
egal,no matter,независимо от того
kennen,know,знать
deinem,your,твой
vergessen,to forget,забывать
frage,ask,просить
mache,make,сделать
komme,come,приходить
sage,sage,легенда
mag,Eg.,подобно
sieh,look,Смотреть
echt,Real,настоящий
gib,give,дать
eigentlich,actually,фактически
jeden,every,каждый
dad,dad,папа
gab,gave,дал
uhr,Clock,Часы
stadt,city,город
männer,Men,Мужчины
baby,baby,младенца
fahren,drive,водить машину
namen,name,имя
bekommen,receive,получать
kopf,head,голова
hi,hi,Привет
gehe,go,идти
kleine,small,небольшой
später,later,позже
glück,luck,удача
letzte,latest,самый последний
freunde,friends,друзья
n,n,N.
all,all,Овладение
darauf,thereon,на него
ende,end,конец
dr,dr,доктор
bald,soon,скоро
töten,kill,убийство
dinge,things,вещи
meinst,mean,иметь в виду
toll,toll,Здорово
eins,alike,один
minuten,minute,минута
vielen,many,много
bereit,ready,готов
weit,far,далеко
ahnung,idea,идея
seiner,his,его
bisschen,little,маленький
tür,type,дверь
auto,auto,автомобиль
jungs,guys,ребята
eure,your,твой
augen,eyes,глаза
polizei,police,полиция
stehen,to stand,стоять
sterben,to die,умереть
hätten,have,имеют
draußen,outside,за пределами
kenne,know,знать
fast,fast,Около
runter,down,вниз
vorbei,past,мимо
treffen,meet,встретить
gerne,gladly,с радостью
dran,your turn,твой ход
wurden,became,стал
arbeiten,work,работай
mom,mom,Мама
verrückt,insane,безумный
neue,new,новый
ging,went,пошли
hinter,Behind,Позади
sorgen,care for,заботиться о
einzige,only,Только
jemanden,someone,кто-то
darum,therefore,следовательно
tochter,daughter,дочь
braucht,needs,потребности
idee,ideas,идея
schwester,sister,сестра
drin,in it,в этом
ruhig,calm,спокойствие
sah,saw,пила
ganzen,entire,весь
spät,late,поздно
ziemlich,pretty much,довольно много
solltest,ward,сторожить
name,name,Фамилия
sogar,even,четное
kurz,short,короткая
kerl,Guy,Парень
frauen,women,женщины
liegt,lies,вранье
suchen,Looking for,Находясь в поиске
je,is,Когда-либо
woher,where from,откуда
lang,Lang.,длинная
job,job,работа
keiner,none,никто
seinem,his,его
hört,Heard,слушание
verstehen,to understand,чтобы понять
spielen,play,играть
s,s,с
überhaupt,at all,вообще
teufel,Devil,Дьявол
