English,German
you,Sie
i,ich
the,der
to,zu
a,ein
s,S
it,es
and,und
that,das
t,T
of,von
is,ist
in,in
what,was
we,wir
me,mich
this,Das
he,er
for,zum
my,mein
on,an
have,verfügen über
your,dein
do,tun
was,war
m,m
no,Nein
not,nicht
be,sein
are,sind
don,anziehen
re,betreffend
know,wissen
can,kann
with,mit
but,aber
all,alle
so,damit
just,gerade
there,dort
here,Hier
they,Sie
like,wie
ll,ll
get,bekommen
she,Sie
go,gehen
if,wenn
right,rechts
out,aus
about,Über
up,hoch
at,bei
him,ihm
now,jetzt
oh,Oh
one,ein
come,Kommen Sie
well,Gut
her,ihr
how,wie
yeah,ja
ve,Ve.
will,Wille
got,habe
want,will
think,Überlegen
as,als
see,sehen
did,Tat
good,gut
who,WHO
why,warum
from,von
let,Lassen
his,seine
yes,Jawohl
when,wann
going,gehen
time,Zeit
an,ein
okay,Okay
back,zurück
look,sehen
us,uns
would,möchten
them,Ihnen
where,wo
were,wurden
take,nehmen
then,dann
had,hatte
or,oder
been,gewesen
our,unsere
gonna,wird
tell,erzählen
really,Ja wirklich
man,Mann
some,etwas
say,sagen
hey,Hey
could,könnten
d,D
didn,durn nicht
by,durch
need,brauchen
something,etwas
has,hat
too,zu
more,mehr
way,Weg
down,Nieder
make,machen
very,sehr
never,noch nie
only,nur
people,Menschen
over,über
because,da
little,kleine
please,bitte
love,Liebe
should,sollte
mean,bedeuten
said,genannt
sorry,Verzeihung
give,geben Sie
off,aus
am,bin
thank,danken
any,irgendein
two,zwei
even,eben
much,viel
doing,tun
sure,sicher
thing,Ding
these,diese
help,Hilfe
first,Erste
into,hinein
anything,irgendetwas
still,still
find,finden
life,Leben
nothing,nichts
sir,Herr
day,Tag
god,Gott
work,Arbeit
their,ihr
uh,äh
again,aufs Neue
maybe,vielleicht
must,Muss
before,Vor
other,andere
wait,Warten
stop,Stop
call,Anruf
after,nach dem
won,gewonnen
talk,sprechen
away,Weg
than,als
thought,Gedanke
home,Zuhause
night,Nacht
put,setzen
great,großartig
those,diese
last,zuletzt
better,besser
everything,alles
told,erzählt
mr,Herr
new,Neu
things,Dinge
always,immer
keep,behalten
long,lang
years,Jahre
leave,verlassen
does,tut
money,Geld
around,um herum
doesn,nicht
name,Name
place,Ort
ever,je
feel,fühlen
guys,Leute
father,Vater
guy,Kerl
made,gemacht
old,alt
isn,Isn.
which,welcher
big,groß
lot,viel
done,fertig
hello,Hallo
nice,schön
believe,glauben
girl,Mädchen
someone,jemand
fine,fein
thanks,Danke
wanted,gesucht
kind,Art
coming,Kommen
house,Haus
every,jeden
ok,OK
through,durch
being,Sein
course,Kurs
stay,bleibe
left,links
dad,Vati
enough,genügend
happened,passierte
came,kam
may,dürfen
mother,Mutter
wrong,falsch
world,Welt
bad,Schlecht
might,könnte
three,drei
today,heute
listen,Hören
another,Ein weiterer
understand,verstehen
hear,hören
remember,erinnere dich
ask,Fragen
own,eigen
same,gleich
show,Show
else,anders
kill,töten
talking,reden
found,gefunden
next,nächste
getting,bekommen
care,Pflege
car,Wagen
looking,schauend
son,Sohn
try,Versuchen
woman,Frau
went,gegangen
hi,Hallo
dead,tot
many,viele
mind,Geist
wasn,WASN
friend,Freundin
best,Beste
mom,Mama
hell,Hölle
morning,Morgen
trying,versuche
boy,Junge
together,zusammen
yourself,du selbst
job,Arbeit
saw,gesehen
family,Familie
real,Real
without,ohne
baby,Baby
room,Zimmer
wouldn,würde nicht
already,bereits
move,Bewegung
most,die meisten
seen,gesehen
live,lebend
miss,vermissen
actually,eigentlich
huh,Huh
shit,Scheisse
both,beide
heard,gehört
once,Einmal
ready,bereit
head,Kopf
called,namens
used,benutzt
idea,Idee
knew,wusste
hold,halten
happy,glücklich
door,Tür
such,eine solche
fuck,Scheiße
brother,Bruder
also,Auch
pretty,hübsch
bit,bisschen
took,nahm
haven,Oase
yet,noch
men,Männer
whole,ganz
start,Anfang
use,verwenden
while,während
since,seit
wife,Ehefrau
days,Tage
guess,erraten
tomorrow,Morgen
matter,Gegenstand
meet,Treffen
bring,bringen
tonight,heute Abend
everyone,jeder
run,Lauf
wanna,will
hard,schwer
ah,Ah
alone,allein
myself,ich selbst
school,Schule
gone,gegangen
um,Äh
end,Ende
saying,Sprichwort
phone,Telefon
play,abspielen
looks,sieht aus
couldn,könnte nicht
fucking,Ficken
problem,Problem
few,wenig
friends,Freunde
gotta,muss
ago,vor
open,offen
anyone,jeder
killed,getötet
hope,hoffen
face,Gesicht
until,noch bis
lost,hat verloren
police,Polizei
excuse,Ausrede
turn,Wende
business,Unternehmen
case,Fall
wants,will
says,sagt
TRUE,WAHR
die,sterben
heart,Herz
soon,bald
each,jede einzelne
worry,Sorge
later,später
year,Jahr
watch,Uhr
music,Musik
hand,Hand
having,annehmen
probably,wahrscheinlich
beautiful,Schön
doctor,Arzt
sit,sitzen
eat,Essen
thinking,Denken
young,Jung
second,Sekunde
working,Arbeiten
water,Wasser
person,Person
part,Teil
kids,Kinder
late,spät
stuff,Sachen
exactly,exakt
under,unter
death,Tod
minute,Minute
pay,Zahlen
crazy,verrückt
forget,vergessen
everybody,alle
kid,Kind
change,Veränderung
gave,gegeben
happen,passieren
damn,verdammt
five,fünf
drink,trinken
far,weit
knows,kennt.
its,es ist
whatever,wie auch immer
eyes,Augen
shut,geschlossen
aren,Aren
hit,getroffen haben
taking,Nehmen
easy,leicht
times,mal
check,prüfen
hands,Hände
minutes,Protokoll
deal,handeln
different,unterschiedlich
means,bedeutet
point,Punkt
inside,Innerhalb
makes,macht
asked,fragte
somebody,jemand
mine,Bergwerk
making,Herstellung
body,Karosserie
afraid,besorgt
sleep,Schlaf
chance,Chance
dear,sehr geehrter
quite,ziemlich
four,vier.
anyway,ohnehin
close,nah dran
ain,Ain
party,Gruppe
fun,Spaß
against,gegen
word,Wort
comes,Kommt
important,wichtig
set,einstellen
shall,soll
story,Geschichte
number,Anzahl
daughter,Tochter
least,am wenigsten
waiting,warten
hurt,Schmerzen
wish,Wunsch
moment,Moment
fight,Kampf
week,Woche
husband,Ehemann
girls,Mädchen
rest,sich ausruhen
married,verheiratet
fire,Feuer
game,Spiel
nobody,niemand
mr,Herr
children,Kinder
side,Seite
stand,Stand
read,lesen
though,obwohl
cut,schneiden
started,gestartet
sister,Schwester
supposed,soll
between,zwischen
child,Kind
goes,giftig
hours,Std
speak,sprechen
women,Frauen
behind,hinter
almost,schon fast
truth,Wahrheit
blood,Blut
able,fähig
lady,Dame
anymore,mehr
playing,spielend
gets,Get
shot,Schuss
reason,Grund
trouble,Ärger
break,brechen
war,Krieg
city,Stadt
walk,Spaziergang
town,Stadt
trust,Vertrauen
dr,DR
met,getroffen
office,Büro
question,Frage
brought,gebracht
yours,deine
welcome,willkommen
high,hoch
wow,Beeindruckend
couple,Paar
half,Hälfte
died,ist gestorben
cool,kühl
free,kostenlos
either,entweder
seems,scheint
power,Energie
whoa,whoa.
bye,Tschüss
buy,Kaufen
telling,erzirk
honey,Honig
tried,versucht
front,Vorderseite
team,Mannschaft
answer,Antworten
gun,Pistole
boys,Jungs
line,Linie
send,schicken
news,Nachrichten
stupid,dumm
bed,Bett
hurry,Eile
full,voll
months,Monate
save,sparen
sometimes,manchmal
become,werden
along,eine lange
hate,hassen
food,Lebensmittel
outside,außen
light,hell
l,L.
needs,braucht
dog,Hund
country,Land
clear,klar
order,Befehl
em,em
fact,Tatsache
lord,Herr
captain,Kapitän
six,sechs
hot,heiß
funny,komisch
black,Schwarz
mrs,Frau
alive,am Leben
pick,wählen
feeling,Gefühl
living,Leben
cause,weil
ahead,voaus
lose,verlieren
king,König
plan,planen
dinner,Abendessen
sighs,Seufzer
sort,Sortieren
leaving,Verlassen
shouldn,Soll
running,Laufen
boss,Boss
alright,in Ordung
promise,Versprechen
taken,vergriffen
safe,sicher
ma,MA.
book,Buchen
sent,geschickt
white,Weiß
hour,Stunde
anybody,irgendjemand
small,klein
perfect,perfekt
cause,weil
lives,Leben
special,Besondere
parents,Eltern
s,S
john,John
himself,selbst
perhaps,vielleicht
sounds,Geräusche
serious,Ernst
sick,krank
company,Gesellschaft
ha,Ha
scared,erschrocken
uncle,Onkel
poor,Arm
red,rot
past,Vergangenheit
earth,Erde
possible,möglich
shoot,schießen
touch,berühren
sound,Klang
top,oben
ass,Arsch
laughs,lacht
cannot,kann nicht
asking,fragend
win,Sieg
glad,froh
control,Kontrolle
hmm,Hmm
human,Mensch
drive,Fahrt
hair,Haar
jack,Jack
bitch,Hündin
luck,Glück
murder,Mord
happens,das passiert
air,Luft
ten,zehn
daddy,Vati
finally,endlich
chuckles,Kichern
fast,schnell
cold,kalt
seem,erscheinen
laughing,Lachen
words,Wörter
hospital,Krankenhaus
street,Straße
hang,aufhängen
dance,tanzen
meeting,Meeting
till,bis
others,Andere
catch,fangen
follow,Folgen
sense,Sinn
sex,Sex
lie,Lüge
evening,Abend
master,Meister
known,bekannt
dream,Traum
write,schreiben
million,Million
voice,Stimme
sweet,Süss
rather,eher
felt,gefühlt
sign,Schild
lucky,Glücklich
somewhere,irgendwo
bet,Wette
o,Ö
jesus,Jesus
longer,länger
calling,Berufung
worked,hat funktioniert
quiet,ruhig
looked,sah
less,weniger
pull,ziehen
beat,schlagen
careful,Vorsichtig
coffee,Kaffee
return,Rückkehr
secret,Geheimnis
weeks,Wochen
weren,werben
date,Datum
seeing,Sehen
fall,Herbst
given,gegeben
ooh,Oh
fault,Fehler
straight,gerade
takes,dauert
song,Lied
future,Zukunft
gentlemen,Herren
loved,geliebt
changed,geändert
road,Straße
calm,Ruhe
wonderful,wunderbar
mad,verrückt
turned,gedreht
drop,Tropfen
ladies,Damen
learn,lernen
step,Schritt
absolutely,absolut
early,frühzeitig
explain,erklären
clean,reinigen
piece,Stück
yesterday,gestern
throw,Wurf
picture,Bild
land,Land
feet,Fuß
wonder,Wunder
questions,Fragen
speaking,Apropos
worth,Wert
darling,Schatz
dude,Kumpel
giving,zu geben
president,Präsident
eye,Auge
quick,schnell
moving,ziehen um
figure,Bild
state,Zustand
strong,stark
sam,Sam
none,keiner
amazing,tolle
ones,Einsen
works,arbeitet.
act,Handlung
needed,erforderlich
weird,seltsam
law,Gesetz
worried,besorgt
report,Prüfbericht
goodbye,auf Wiedersehen
missing,fehlen
choice,Auswahl
happening,Ereignis
chief,Chef
wedding,Hochzeit
strange,seltsam
general,Allgemeines
pain,Schmerzen
am,bin
kidding,scherzhaft
decided,beschlossen
ya,ya.
pass,passieren
tired,müde
class,Klasse
officer,Offizier
kept,gehalten
wake,aufwachen
worse,schlechter
busy,belebt
eh,ah
mistake,Fehler
kiss,Kuss
court,Gericht
building,Gebäude
finish,Ziel
during,während
age,Zeitalter
ship,Schiff
caught,erwischt
marry,heiraten
meant,gemeint
sell,verkaufen
dark,dunkel
watching,Aufpassen
system,System
suppose,annehmen
evidence,Beweis
movie,Film
ride,Fahrt
t,T
completely,vollständig
mouth,Mund
totally,total
birthday,Geburtstag
tv,Fernseher
forgive,verzeihen
born,geboren
imagine,sich vorstellen
information,Information
instead,stattdessen
definitely,bestimmt
security,Sicherheit
certainly,bestimmt
film,Film
month,Monat
lying,lügnerisch
unless,wenn nicht
train,Zug
seven,Sieben
wear,tragen
clothes,Kleider
michael,Michael
hotel,Hotel
christmas,Weihnachten
attack,Attacke
hasn,Hasn
round,runden
expect,erwarten
sing,singen
terrible,schrecklich
george,George
bag,Tasche
history,Geschichte
blue,Blau
near,in der Nähe von
broke,Pleite
station,Bahnhof
seriously,Ernsthaft
forever,für immer
david,David
frank,frank
except,außer
thinks,denkt
message,Botschaft
entire,gesamte
joe,Joe
table,Tisch
talked,gesprochen
across,über
rock,Felsen
lovely,schön
handle,handhaben
middle,Mitte
buddy,Kumpel
paid,bezahlt
protect,beschützen
using,verwendet
floor,Boden
ran,Ran
swear,schwören
spend,ausgeben
situation,Lage
ring,Ring
anywhere,irgendwo
dangerous,gefährlich
bill,Rechnung
york,York
army,Heer
lead,das Blei
bought,gekauft
finished,beendet
fair,Messe
sun,Sonne
letter,Buchstabe
fool,täuschen
attention,Aufmerksamkeit
club,Verein
simple,einfach
interesting,interessant
space,Platz
test,Prüfung
box,Kasten
group,Gruppe
single,Einzel
sitting,Sitzung
marriage,Ehe
join,beitreten
fear,Furcht
d,D
peace,Frieden
forgot,vergessen
force,Gewalt
short,kurz
normal,normal
charlie,Charlie
present,gegenwärtig
enjoy,Viel Spaß
mike,Mike
crime,Verbrechen
horse,Pferd
ground,Boden
american,amerikanisch
count,Anzahl
area,Bereich
charge,aufladen
honor,Ehren
lunch,Mittagessen
miles,Meilen
radio,Radio
idiot,Idiot
ball,Ball
surprise,Überraschung
paper,Papier
key,Schlüssel
boat,Boot
quickly,schnell
gold,Gold
bar,Bar
fish,Fisch
mark,Kennzeichen
tom,Tom
wearing,Verschleiß
crying,Weinen
accident,Unfall
government,Regierung
eight,acht
fell,ist hingefallen
cover,Startseite
certain,sicher
interested,interessiert
deep,tief
star,Stern
sea,Meer
agree,zustimmen
problems,probleme
detective,Detektiv
prison,Gefängnis
major,wesentlich
stick,Stock
offer,Angebot
difficult,schwierig
smart,Clever
personal,persönlich
record,Schallplatte
stopped,gestoppt
hide,verstecken
whether,ob
bank,Bank
trip,Reise
relax,Entspannen Sie sich
america,Amerika
public,öffentlich zugänglich
list,Liste
afternoon,Nachmittag
brain,Gehirn
fix,Fix
bastard,Bastard
proud,stolz
tea,Tee
service,Bedienung
screaming,schreiend
forward,nach vorne
angry,wütend
park,Park
soul,Seele
fighting,Kampf
peter,Peter
rich,Reich
agent,Agent
blow,Schlag
paul,Paulus
dress,Kleid
mary,Maria
missed,vermisst
scene,Szene
killing,Tötung
standing,Stehen
saved,Gerettet
mm,in mm
respect,Respekt
killer,Mörder
ice,Eis
mess,Durcheinander
tough,zäh
feels,fühlt sich
church,Kirche
sad,traurig
cell,Zelle
drunk,betrunken
share,Teilen
camera,Kamera
mm-hmm,mm-hmm.
within,innerhalb
card,Karte
fly,fliegen
ben,Benne
girlfriend,feste Freundin
laugh,Lachen
smell,Geruch
broken,gebrochen
mum,Mama
honest,ehrlich
often,häufig
starting,beginnend
calls,Anrufe
y,y.
spent,verbraucht
third,Dritter
english,Englisch
visit,Besuch
mama,Mutter
judge,Richter
window,Fenster
hungry,hungrig
dare,Wagen
relationship,Beziehung
moved,gerührt
prove,beweisen
private,Privat
wall,Wand
seat,Sitz
i-i,I-I.
position,Position
lieutenant,Leutnant
realize,realisieren
lt,Lt
especially,insbesondere
machine,Maschine
walking,gehen
art,Kunst
pleasure,Vergnügen
bloody,blutig
college,Hochschule
french,Französisch
involved,beteiligt
cry,Weinen
became,wurde
lived,lebte
impossible,unmöglich
obviously,offensichtlich
neither,weder
accept,annehmen
boyfriend,Freund
besides,neben
queen,Königin
teacher,Lehrer
cops,Bullen
sake,Sake
loves,liebt
carry,tragen
teach,unterrichten
apartment,Wohnung
upset,verärgern
green,Grün
la,LA.
liked,gefallen
cute,niedlich
evil,teuflisch
professor,Professor
contact,Kontakt
joke,scherzen
cop,Polizist
huge,enorm
holy,heilig
store,Laden
jail,Gefängnis
likes,Likes
lawyer,Anwalt
doubt,Zweifel
continue,fortsetzen
appreciate,schätzen
cat,Katze
shop,Einkaufen
driving,Fahren
congratulations,Herzliche Glückwünsche
wrote,schrieb
village,Dorf
quit,Verlassen
field,Bereich
james,James
wine,Wein
decision,Entscheidung
south,Süden
sleeping,Schlafen
slow,schleppend
laughter,Lachen
island,Insel
glass,Glas
beginning,Anfang
cash,Kasse
dying,Absterben
hundred,hundert
whose,deren
difference,Unterschied
plane,Flugzeug
push,drücken
continues,geht weiter
mmm,Mmm
singing,Singen
eating,Essen
north,Norden
mrs,Frau
tree,Baum
madam,gnädige Frau
gift,Geschenk
truck,LKW
putting,Putten
bear,Bär
board,Planke
grab,greifen
beer,Bier
stuck,gesteckt
magic,Magie
support,Unterstützung
rules,Regeln
grunts,Grunts
partner,Partner
reach,erreichen
wind,Wind
colonel,Oberst
max,Max
immediately,sofort
seconds,Sekunden
thousand,tausend
gives,ergibt
experience,Erfahrung
cheers,Prost
victim,Opfer
upon,auf
computer,Computer
christ,Christus
planet,Planet
promised,versprochen
bus,Bus
henry,Henry
dirty,dreckig
search,Suche
staying,bleiben
dreams,Träume
arrest,Festnahme
holding,Halten
suddenly,plötzlich
usually,meistens
lots,viele
shoes,Schuhe
er,er
jump,springen
rid,loswerden
yo,yo.
knock,klopfen
owe,verdanken
harry,Harry
grow,wachsen
worst,am schlimmsten
river,Fluss
aunt,Tante
patient,Geduldig
kitchen,Küche
aah,aah.
fat,Fett
passed,bestanden
m,m
final,Finale
summer,Sommer
bob,Bob
listening,Hören
escape,Flucht
everywhere,"überall, überallhin, allerorts"
moon,Mond
arms,Waffen
turns,wendet sich
address,die Anschrift
ow,ow.
match,passen
gasps,Pensionen
grand,groß
yep,ja
shh,shh.
nervous,nervös
de,Dach
choose,wählen
themselves,sich
decide,entscheiden
mate,sich paaren
drinking,Trinken
press,Drücken Sie
bother,Mühe
foot,Fuß
hadn,Hatn
blame,beschuldigen
crap,Mist
drugs,Drogen
type,Art
rings,Ringe
mission,Mission
named,genannt
heaven,Himmel
ii,II
picked,gepflückt
paris,Paris
race,Rennen
risk,Risiko
books,Bücher
further,des Weiteren
danny,Danny
action,Aktion
allowed,erlaubt
orders,Aufträge
learned,gelernt
price,Preis
arrived,ist eingetroffen
nick,Nick
otherwise,Andernfalls
pictures,Bilder
fit,fit
smoke,Rauch
favor,favorisieren
played,gespielt
notice,Notiz
awesome,fantastisch
smile,Lächeln
director,Direktor
guard,bewachen
begin,Start
spot,Stelle
surprised,überrascht
innocent,unschuldig
narrator,Erzähler
herself,Sie selbst
london,London
feelings,Gefühle
enemy,Feind
battle,Schlacht
ourselves,uns selbst
alex,Alex
dollars,dämmert
allow,ermöglichen
nine,neun
gay,Fröhlich
department,Abteilung
guilty,schuldig
apart,ein Teil
earlier,früher
duty,Pflicht
jim,Jammer
suit,Anzug
bell,Glocke
west,West
legs,Beine
hero,Held
destroy,zerstören
stage,Bühne
bunch,Bündel
according,gemäß
chicken,Hähnchen
bigger,größer
grunting,Grunken
low,niedrig
helping,Portion
admit,zugeben
closed,geschlossen
names,namen
witness,Zeuge
upstairs,nach oben
arm,Arm
steal,stehlen
jimmy,Jimmy
kick,trete
twice,zweimal
cross,kreuzen
ways,Wege
sergeant,Sergeant
indeed,in der Tat
gas,Gas
keeping,Halten
energy,Energie
pregnant,schwanger
waste,Abfall
helped,geholfen
fired,abgefeuert
favorite,Favorit
tony,tony.
taste,Geschmack
locked,gesperrt
places,setzt
writing,Schreiben
adam,Adam
brothers,Brüder
starts,beginnt
prince,Prinz
form,bilden
